38 Sea Zone  (1405,1087)  (1345,1146)  (1345,1086)  (1464,1147)  (1405,1027)  (1465,1027)  (1465,1087)  (1343,1026)  (1404,1206)  (1344,1206)  (1285,1146)  (1285,1086)  (1524,1147)  (1524,1207)  (1464,1207)  (1284,1207)  (1403,967)  (1463,967)  (1523,967)  (1525,1027)  (1525,1087)  (1283,1026)  (1283,966)  (1343,966)  (1583,961)  (1225,1147)  (1225,1087)  (1584,1147)  (1584,1207)  (1224,1207)  (1585,1021)  (1585,1081)  (1223,1027)  (1223,967)  | overflowToLeft=false
99 Sea Zone  (1956,2745)  (1896,2802)  (1896,2742)  (1956,2685)  (2016,2685)  (2016,2745)  (1892,2682)  (1836,2821)  (1836,2761)  (2076,2678)  (2076,2738)  (1832,2701)  (1776,2840)  (1776,2780)  (2136,2678)  (2136,2738)  (1772,2720)  | overflowToLeft=false
RCap  (7660,3397)  | overflowToLeft=false
84 Sea Zone  (1210,2409)  (1150,2468)  (1150,2408)  (1269,2469)  (1210,2349)  (1270,2349)  (1270,2409)  (1148,2348)  (1209,2528)  (1149,2528)  (1090,2468)  (1090,2408)  (1329,2469)  (1329,2529)  (1269,2529)  (1089,2529)  (1208,2289)  (1268,2289)  (1328,2289)  (1330,2349)  (1330,2409)  (1088,2348)  (1088,2288)  (1148,2288)  (1388,2250)  (1030,2469)  (1030,2409)  (1389,2469)  (1029,2574)  (1390,2310)  (1390,2370)  (1028,2349)  (1028,2289)  | overflowToLeft=false
A1 - Topend  (5523,396)  (5463,417)  (5581,456)  (5516,336)  | overflowToLeft=false
R21  (4405,1252)  (4345,1207)  (4281,1248)  (4233,1280)  (4241,1344)  (4302,1377)  (4365,1324)  | overflowToLeft=false
A2 - Ace  (5451,544)  (5391,546)  (5391,486)  (5510,604)  (5331,526)  (5558,664)  | overflowToLeft=false
R20  (4425,1091)  (4453,1151)  (4393,1151)  (4481,1031)  | overflowToLeft=false
A3 - Bush  (5704,628)  (5644,679)  (5644,619)  (5763,688)  (5634,559)  (5823,697)  | overflowToLeft=false
R23  (3570,1522)  (3510,1581)  (3510,1521)  (3629,1582)  (3570,1462)  (3630,1462)  (3630,1522)  (3508,1461)  (3569,1641)  (3509,1641)  (3689,1582)  (3690,1474)  (3448,1499)  | overflowToLeft=false
56 Sea Zone  (621,1772)  (561,1831)  (561,1771)  (680,1832)  (621,1712)  (681,1712)  (681,1772)  (559,1711)  (620,1891)  (560,1891)  (710,1892)  (619,1652)  (679,1652)  (519,1651)  | overflowToLeft=false
100 Sea Zone  (2358,2756)  (2298,2760)  (2298,2700)  (2417,2816)  (2358,2696)  (2418,2696)  (2418,2756)  (2238,2760)  (2238,2700)  (2455,2876)  (2455,2936)  (2455,2996)  | overflowToLeft=false
A4 - Smoke  (5758,994)  (5789,934)  (5769,870)  (5742,806)  (5676,753)  (5596,744)  (5536,735)  (5560,809)  (5600,872)  (5658,931)  | overflowToLeft=false
R22  (4646,1248)  | overflowToLeft=false
A5 - Oz  (5571,1023)  | overflowToLeft=false
R25  (4129,1399)  (4189,1384)  | overflowToLeft=false
A6 - Billabong  (5915,994)  (5855,1053)  (5855,993)  (5974,1054)  (5915,934)  (5975,934)  (5975,994)  (6034,1054)  (6034,1114)  (5856,874)  (5916,874)  (5824,814)  (5884,814)  | overflowToLeft=false
R24  (3873,1463)  (3813,1522)  (3813,1462)  (3932,1523)  (3882,1403)  (3933,1463)  (3993,1411)  (3993,1471)  | overflowToLeft=false
9 Sea Zone  (3478,45)  (3418,104)  (3418,44)  (3524,105)  (3538,0)  (3464,164)  (3404,164)  (3358,104)  (3358,44)  (3525,165)  (3598,0)  (3344,171)  (3658,0)  (3718,0)  (3778,0)  (3838,0)  | overflowToLeft=false
A7 - Veg  (5181,1355)  | overflowToLeft=false
R27  (4366,1466)  | overflowToLeft=false
A8 - Dunny  (5960,1257)  (5900,1316)  (5900,1256)  (6019,1317)  (5960,1197)  (6020,1207)  (5898,1196)  (6079,1267)  (6079,1327)  | overflowToLeft=false
R26  (4295,1612)  (4233,1590)  (4169,1565)  (4108,1551)  (4037,1581)  (4043,1642)  (4098,1687)  (4163,1694)  (4229,1698)  | overflowToLeft=false
A9 - Pozzy  (6015,1495)  (5955,1485)  (6074,1555)  (6014,1555)  (6015,1435)  (6075,1435)  (6075,1495)  (5944,1425)  (6088,1615)  | overflowToLeft=false
R29  (3849,1700)  (3789,1759)  (3789,1699)  (3908,1760)  (3849,1640)  (3909,1640)  (3909,1700)  (3787,1639)  (3729,1746)  (3906,1820)  (3969,1671)  (3969,1731)  (3727,1686)  | overflowToLeft=false
R28  (3550,1813)  (3490,1871)  (3490,1811)  (3609,1873)  (3554,1753)  (3610,1813)  (3614,1753)  (3432,1751)  (3549,1931)  (3430,1834)  (3669,1873)  (3670,1813)  (3730,1835)  | overflowToLeft=false
13 Sea Zone  (5496,118)  (5436,177)  (5436,117)  (5555,178)  (5496,58)  (5556,58)  (5556,118)  (5434,57)  (5495,237)  (5435,237)  (5376,177)  (5376,117)  (5615,178)  (5616,0)  (5616,60)  (5374,57)  (5675,120)  (5675,180)  (5676,0)  (5676,60)  | overflowToLeft=false
115 Sea Zone  (1588,3282)  (1528,3338)  (1528,3278)  (1648,3269)  (1648,3329)  (1523,3218)  (1468,3338)  (1468,3278)  (1708,3292)  (1463,3218)  (1463,3158)  (1523,3158)  (1408,3338)  (1408,3278)  (1768,3302)  (1403,3218)  (1403,3158)  (1403,3098)  (1463,3098)  (1523,3098)  (1828,3307)  | overflowToLeft=false
R1  (4175,165)  (4115,182)  (4235,144)  | overflowToLeft=false
A10 - Downunder  (5870,1607)  (5810,1563)  (5929,1667)  (5869,1667)  (5870,1547)  (5910,1727)  | overflowToLeft=false
R2  (4529,37)  | overflowToLeft=false
R3  (3725,519)  (3665,533)  (3769,579)  (3785,463)  | overflowToLeft=false
R4  (4073,493)  (4010,489)  (3945,483)  (3885,477)  (3854,537)  (3841,595)  (3810,648)  (3901,629)  (3958,604)  (4013,550)  | overflowToLeft=false
28 Sea Zone  (5092,341)  (5032,400)  (5032,340)  (5151,401)  (5092,281)  (5152,281)  (5152,341)  (5030,280)  (5091,460)  (5031,460)  (4972,400)  (4972,340)  (5212,239)  (5212,299)  (5212,359)  (4970,280)  (4912,401)  (4912,341)  (5272,245)  (5272,305)  (5272,365)  (4910,281)  (5332,300)  (5332,360)  | overflowToLeft=false
R5  (4178,552)  (4118,611)  (4222,612)  (4238,512)  (4282,572)  | overflowToLeft=false
IN12 - Stratyegin  (3715,2043)  (3655,2102)  (3655,2042)  (3774,2103)  (3715,1983)  (3775,1983)  (3775,2043)  (3595,2034)  (3834,2103)  (3798,1923)  (3835,2027)  | overflowToLeft=false
R6  (4450,610)  (4390,636)  (4390,576)  (4509,670)  (4450,550)  (4510,550)  (4510,610)  (4449,696)  | overflowToLeft=false
IN13 - Espectador  (6109,1816)  (6049,1875)  (6049,1815)  (6168,1876)  (6109,1756)  (6169,1756)  (6169,1816)  (6047,1755)  (5989,1820)  (6228,1876)  (6229,1767)  (5929,1815)  (6288,1827)  (6288,1887)  | overflowToLeft=false
R7  (4665,608)  (4724,668)  (4664,668)  (4614,548)  (4674,548)  (4725,608)  (4734,539)  (4735,728)  (4675,728)  (4723,479)  | overflowToLeft=false
IN10 - Trasnaigh  (1532,1733)  (1472,1726)  (1592,1734)  | overflowToLeft=false
R8  (3423,697)  (3363,756)  (3477,757)  (3398,637)  (3458,637)  (3483,697)  (3518,611)  | overflowToLeft=false
IN11 - Kantstenn  (2228,1703)  (2287,1763)  (2227,1763)  (2201,1643)  (2261,1643)  | overflowToLeft=false
R9  (3622,713)  (3562,772)  (3681,773)  (3587,653)  (3647,653)  (3682,713)  | overflowToLeft=false
GCap  (7660,3397)  | overflowToLeft=false
IN14 - Vigia  (6360,1686)  (6300,1710)  (6419,1746)  (6345,1626)  (6405,1626)  (6420,1686)  | overflowToLeft=false
IN15 - Seccao  (6569,1690)  (6628,1750)  (6568,1750)  (6532,1630)  (6592,1630)  (6629,1690)  (6652,1607)  (6508,1784)  (6616,1810)  | overflowToLeft=false
94 Sea Zone  (7349,2587)  (7289,2646)  (7289,2586)  (7408,2647)  (7349,2527)  (7409,2527)  (7409,2587)  (7287,2526)  (7348,2706)  (7288,2706)  (7229,2646)  (7229,2586)  (7469,2473)  (7469,2533)  (7227,2526)  (7354,2766)  (7294,2766)  (7529,2473)  (7309,2826)  (7249,2826)  (7261,2886)  | overflowToLeft=false
R30  (4101,1820)  (4041,1861)  (4041,1801)  (4160,1880)  (4101,1760)  (4161,1760)  (4161,1820)  | overflowToLeft=false
R32  (3989,2156)  (3929,2202)  (3929,2142)  (4048,2216)  (3989,2096)  (4049,2096)  (4049,2156)  (3928,2082)  (4109,2115)  | overflowToLeft=false
46 Sea Zone  (1251,1428)  (1191,1487)  (1191,1427)  (1310,1488)  (1251,1368)  (1311,1368)  (1311,1428)  (1189,1367)  (1250,1547)  (1190,1547)  (1349,1548)  (1249,1308)  (1309,1308)  (1162,1307)  | overflowToLeft=false
125 Sea Zone  (6893,3286)  (6833,3338)  (6833,3278)  (6893,3226)  (6953,3226)  (6953,3286)  (6773,3338)  (6773,3278)  (7013,3209)  (7013,3269)  (7013,3329)  (6713,3338)  (6713,3278)  (7073,3206)  (7073,3266)  (7073,3326)  (6653,3338)  (6653,3278)  (7133,3210)  (7133,3270)  (7133,3330)  (6593,3338)  (6593,3278)  (7193,3215)  (7193,3275)  (7193,3335)  (6570,3218)  (6533,3338)  (6533,3278)  (6530,3092)  (6523,3158)  (6510,3218)  | overflowToLeft=false
R31  (4031,1980)  (3971,2009)  (3971,1949)  (4091,1968)  (4093,2028)  (3911,1983)  | overflowToLeft=false
NL1 - Flaggestok  (1911,1180)  (1851,1239)  (1971,1138)  | overflowToLeft=false
NL3 - Zachodnan  (3172,1091)  (3112,1144)  (3232,1045)  (3266,1105)  | overflowToLeft=false
NL2 - Ferankera  (2211,1051)  (2270,1111)  (2187,991)  | overflowToLeft=false
NL5 - Srodeklaw  (3611,1071)  (3671,1043)  (3671,1103)  | overflowToLeft=false
NL4 - Polnocin  (3416,1056)  (3356,1045)  (3476,1014)  (3476,1074)  | overflowToLeft=false
23 Sea Zone  (2630,432)  (2570,491)  (2570,431)  (2658,492)  (2630,372)  (2690,372)  (2690,432)  (2594,551)  (2534,551)  (2510,491)  (2603,312)  (2663,312)  (2723,312)  (2750,372)  (2750,432)  (2783,279)  (2474,587)  (2536,611)  (2450,527)  (2603,252)  (2663,252)  (2723,252)  (2810,339)  (2810,399)  (2843,235)  (2476,647)  | overflowToLeft=false
NL7 - Otwardz  (3456,1185)  (3396,1213)  (3516,1175)  (3576,1185)  (3636,1185)  | overflowToLeft=false
NL6 - Wschod  (3775,1053)  | overflowToLeft=false
NL9 - Domyslivy  (3456,2047)  (3396,2080)  (3515,2107)  (3516,2026)  | overflowToLeft=false
41 Sea Zone  (4790,1009)  (4730,1068)  (4730,1008)  (4849,1069)  (4790,949)  (4850,949)  (4850,1009)  (4728,948)  (4670,1085)  (4670,1025)  (4909,1069)  (4910,932)  (4910,992)  (4610,1085)  | overflowToLeft=false
NL8 - Poludniowy  (3817,1155)  | overflowToLeft=false
64 Sea Zone  (5017,1602)  (4957,1649)  (4957,1589)  (5076,1662)  (5077,1550)  (4936,1529)  (4897,1634)  (5136,1610)  (5136,1670)  (5137,1550)  (4883,1469)  (4876,1574)  | overflowToLeft=false
NL13 - Verleiding  (2144,3137)  (2084,3196)  (2084,3136)  (2161,3197)  (2204,3086)  (2221,3146)  (2024,3120)  (2264,3086)  (2281,3146)  | overflowToLeft=false
76 Sea Zone  (5320,2166)  (5320,2226)  (5322,2286)  | overflowToLeft=false
110 Sea Zone  (6324,2953)  (6264,3012)  (6264,2952)  (6383,3013)  (6324,2893)  (6384,2893)  (6384,2953)  (6204,3030)  (6204,2970)  (6443,3013)  (6444,2859)  (6444,2919)  (6476,2799)  (6144,3030)  (6144,2970)  (6504,2859)  (6504,2919)  (6508,2739)  (6084,3030)  (6084,2970)  | overflowToLeft=false
4 Sea Zone  (1377,64)  (1317,123)  (1317,63)  (1436,124)  (1377,4)  (1437,4)  (1437,64)  (1315,3)  (1257,142)  (1257,82)  (1496,124)  (1497,0)  (1497,60)  (1255,22)  (1514,184)  | overflowToLeft=false
15 Sea Zone  (6547,59)  (6487,110)  (6487,50)  (6607,0)  (6607,60)  (6427,121)  (6427,61)  (6427,1)  (6667,0)  (6667,60)  (6367,128)  (6367,68)  (6367,8)  (6727,0)  (6727,60)  (6307,140)  (6307,80)  (6307,20)  (6787,0)  (6787,60)  | overflowToLeft=false
C1 - Beimen  (4528,1688)  (4468,1712)  (4588,1674)  (4449,1652)  (4612,1734)  (4389,1640)  | overflowToLeft=false
21 Sea Zone  (1608,336)  (1548,395)  (1548,335)  (1639,396)  (1608,276)  (1668,276)  (1668,336)  (1546,275)  (1728,255)  (1788,255)  | overflowToLeft=false
C2 - Jinglu  (4722,1683)  (4737,1745)  (4800,1791)  (4865,1796)  (4928,1793)  (4957,1728)  (4898,1695)  (4820,1678)  | overflowToLeft=false
C3 - Chukou  (5116,1827)  (5056,1868)  (5056,1808)  (5175,1887)  (5116,1767)  (5176,1786)  (5036,1748)  (5235,1866)  | overflowToLeft=false
C4 - Laohuxi  (5483,1787)  (5423,1846)  (5423,1786)  (5542,1847)  (5483,1727)  (5543,1747)  | overflowToLeft=false
C5 - Aodamen  (5696,1707)  (5636,1734)  (5636,1674)  (5755,1767)  (5696,1647)  (5756,1674)  (5695,1794)  (5815,1779)  | overflowToLeft=false
C6 - Huabu  (4478,1862)  (4418,1917)  (4418,1857)  (4537,1922)  (4478,1802)  (4538,1802)  (4538,1862)  | overflowToLeft=false
97 Sea Zone  (1103,2811)  (1043,2870)  (1043,2810)  (1162,2871)  (1103,2751)  (1163,2751)  (1163,2811)  (1041,2750)  (983,2915)  (983,2855)  (1222,2871)  (1101,2691)  (1161,2691)  (1223,2768)  (981,2795)  (981,2735)  (1041,2690)  (973,2675)  (923,2915)  (923,2855)  (1282,2828)  (1282,2888)  (1283,2759)  (863,2915)  (863,2855)  | overflowToLeft=false
C7 - Yuding  (4682,1922)  (4622,1963)  (4741,1982)  (4639,1862)  (4699,1862)  (4742,1922)  (4759,1857)  | overflowToLeft=false
C8 - Fangyunnan  (4889,1951)  (4829,2010)  (4829,1950)  (4948,2011)  (4889,1891)  (4949,1891)  (4949,1951)  | overflowToLeft=false
C9 - Shijiang  (5127,2133)  (5187,2135)  (5238,2195)  | overflowToLeft=false
92 Sea Zone  (6251,2433)  (6191,2492)  (6191,2432)  (6310,2493)  (6251,2373)  (6311,2373)  (6311,2433)  (6189,2372)  (6250,2552)  (6190,2552)  (6131,2492)  (6131,2432)  (6370,2493)  (6130,2553)  (6249,2313)  (6309,2313)  (6369,2313)  (6371,2373)  (6371,2433)  (6129,2372)  (6129,2312)  (6189,2312)  (6071,2493)  (6071,2433)  (6117,2613)  (6070,2553)  (6249,2253)  (6069,2373)  | overflowToLeft=false
18 Sea Zone  (637,396)  (577,455)  (577,395)  (696,456)  (637,336)  (697,336)  (697,396)  (575,335)  (517,498)  (517,438)  (756,456)  (757,289)  (757,349)  (515,378)  (515,318)  (457,495)  (816,409)  (816,469)  (455,435)  (455,375)  (455,315)  | overflowToLeft=false
UK1 - Elevensend  (1794,457)  (1734,508)  (1734,448)  (1853,517)  (1794,397)  (1854,397)  (1854,457)  (1805,337)  | overflowToLeft=false
UK3 - Decksbury  (1593,683)  (1533,742)  (1652,743)  (1591,623)  (1651,623)  (1653,683)  (1711,602)  (1619,563)  (1713,662)  | overflowToLeft=false
UK2 - Scramblesworth  (2169,528)  (2109,586)  (2109,526)  (2188,588)  (2182,468)  (2229,528)  | overflowToLeft=false
UK5 - Scapachester  (2285,676)  (2225,735)  (2344,736)  (2273,616)  (2345,639)  | overflowToLeft=false
